accuracy,f1,f1_std,auc,train_time,n_train,n_test,n_iter,dataset,model_family,model_name,imbalanced
0.7822966507177034,0.2386327200582794,0.023813493032547373,0.5582948599569098,0.018451799999456852,2923,1254,5,abalone8,nonlinear,tree_base,True
0.7484848484848485,0.26888991048440547,0.013678718714719576,0.5761465066174207,0.061142519998247734,2923,1254,5,abalone8,nonlinear,tree_adasyn,True
0.8569377990430622,0.12975117762681057,0.02253368109088804,0.7302840820117391,0.31855328000383454,2923,1254,5,abalone8,nonlinear,rf_base,True
0.80207336523126,0.2981796608561044,0.013458246919821788,0.7256688967725562,0.3596779399988009,2923,1254,5,abalone8,nonlinear,rf_adasyn,True
0.8636363636363636,0.0,0.0,0.7328905520187048,0.3562515399971744,2923,1254,5,abalone8,nonlinear,ada_base,True
0.5743221690590111,0.3534696781323019,0.015028108824925905,0.7361331151825392,0.6656484399951296,2923,1254,5,abalone8,nonlinear,ada_adasyn,True
0.8623604465709729,0.11100266366969394,0.02308813417516126,0.7662341449190844,0.5960456399974646,2923,1254,5,abalone8,nonlinear,gb_base,True
0.736682615629984,0.38481395710365895,0.017875591145299578,0.7593089371628517,1.21053817999491,2923,1254,5,abalone8,nonlinear,gb_adasyn,True
0.9700159489633174,0.04111111111111111,0.0654518954445473,0.5148794521850778,0.011202420000336133,2923,1254,5,abalone17,nonlinear,tree_base,True
0.9416267942583731,0.051933395663445826,0.018568213964741818,0.5352988729849256,0.056787339999573305,2923,1254,5,abalone17,nonlinear,tree_adasyn,True
0.9864433811802232,0.0,0.0,0.7419087926197155,0.2450684400013415,2923,1254,5,abalone17,nonlinear,rf_base,True
0.9620414673046251,0.061864839250565,0.02987270773776511,0.8012791858861572,0.36691509999800476,2923,1254,5,abalone17,nonlinear,rf_adasyn,True
0.9862838915470494,0.0,0.0,0.8027343192733845,0.40864939999883065,2923,1254,5,abalone17,nonlinear,ada_base,True
0.8172248803827751,0.08725400453913648,0.0119538567605659,0.8102620191164582,0.6962153400032548,2923,1254,5,abalone17,nonlinear,ada_adasyn,True
0.9821371610845293,0.0,0.0,0.7897237148699415,0.6173892799968599,2923,1254,5,abalone17,nonlinear,gb_base,True
0.9130781499202552,0.09704145290750066,0.023591789044097113,0.8329164487136811,1.4330472399946301,2923,1254,5,abalone17,nonlinear,gb_adasyn,True
0.985645933014354,0.0,0.0,0.4959871589085072,0.008596819997183047,2923,1254,5,abalone20,nonlinear,tree_base,True
0.965231259968102,0.05077380952380952,0.0638195454550263,0.5726524879614767,0.055183759998180905,2923,1254,5,abalone20,nonlinear,tree_adasyn,True
0.9936204146730463,0.0,0.0,0.7323434991974318,0.29785805999999865,2923,1254,5,abalone20,nonlinear,rf_base,True
0.9786283891547051,0.11541375004107923,0.08124862988909153,0.8150581861958267,0.38649618000199554,2923,1254,5,abalone20,nonlinear,rf_adasyn,True
0.9917065390749601,0.0,0.0,0.8237760834670947,0.366123219995643,2923,1254,5,abalone20,nonlinear,ada_base,True
0.8955342902711324,0.055274091559991745,0.03359170118700147,0.8380718298555377,0.7016875800007256,2923,1254,5,abalone20,nonlinear,ada_adasyn,True
0.9889952153110046,0.0,0.0,0.7545947030497592,0.592170000000624,2923,1254,5,abalone20,nonlinear,gb_base,True
0.9539074960127591,0.0770924885678984,0.04819476810604125,0.8255116372391653,1.4198695200000657,2923,1254,5,abalone20,nonlinear,gb_adasyn,True
0.8711864406779661,0.825801763216264,0.035882938167441245,0.8604422604422606,0.0015250399999786168,274,118,5,autompg,nonlinear,tree_base,False
0.8966101694915254,0.8710010851229064,0.04537208567053117,0.9584766584766584,0.22983742000069468,274,118,5,autompg,nonlinear,rf_base,False
0.8966101694915254,0.8678262948372811,0.03977301952603582,0.9565724815724815,0.1578568600001745,274,118,5,autompg,nonlinear,ada_base,False
0.9033898305084745,0.8747724144835562,0.04615481477151188,0.9626228501228502,0.11307159999851138,274,118,5,autompg,nonlinear,gb_base,False
0.8038647342995169,0.7718815936338688,0.02174955421010246,0.7982608695652174,0.0026777999999467285,483,207,5,australian,nonlinear,tree_base,False
0.8676328502415458,0.8480152350982879,0.02268221575089909,0.9244423440453687,0.22566281999461352,483,207,5,australian,nonlinear,rf_base,False
0.8492753623188405,0.8322345980351061,0.015225552134336372,0.9170037807183367,0.1764638000051491,483,207,5,australian,nonlinear,ada_base,False
0.8579710144927535,0.8386810539676247,0.025488982107934172,0.9186011342155009,0.1590844799997285,483,207,5,australian,nonlinear,gb_base,False
0.8946808510638299,0.8893696565801792,0.021970012695260686,0.8959257994764993,0.0014428199996473269,437,188,5,balance,nonlinear,tree_base,False
0.9095744680851064,0.903164777455278,0.013028824900100551,0.9771935814271083,0.23059939999657217,437,188,5,balance,nonlinear,rf_base,False
0.9829787234042554,0.981631610184991,0.012117948169237348,0.999180607715944,0.15825598000374158,437,188,5,balance,nonlinear,ada_base,False
0.9319148936170212,0.9275186700435093,0.015229673558571046,0.9875270285649254,0.10176727999933063,437,188,5,balance,nonlinear,gb_base,False
0.8779710999705103,0.48517862675598683,0.004918611687938131,0.7103371569294835,0.43672872000024654,31647,13564,5,bankmarketing,nonlinear,tree_base,True
0.876585078148039,0.48330305549930985,0.009558888122845059,0.7103722588647775,1.2921404599997914,31647,13564,5,bankmarketing,nonlinear,tree_adasyn,True
0.9057800058979651,0.49272469740496855,0.00994043719424982,0.9268024951625671,0.8042186800012132,31647,13564,5,bankmarketing,nonlinear,rf_base,True
0.9043497493364789,0.5001831343292837,0.00895515313526357,0.9253650151448121,1.7977824399946258,31647,13564,5,bankmarketing,nonlinear,rf_adasyn,True
0.8990563255676791,0.4480299788321601,0.012427247915967068,0.9052868344225613,4.011073540002689,31647,13564,5,bankmarketing,nonlinear,ada_base,True
0.8971099970510175,0.5178528342806922,0.011509321780013074,0.8991862422299747,27.394420299999183,31647,13564,5,bankmarketing,nonlinear,ada_adasyn,True
0.9062223532881155,0.5051518704838209,0.011800088013384129,0.9255580073948708,17.574598000000698,31647,13564,5,bankmarketing,nonlinear,gb_base,True
0.9065467413742259,0.5665928014350314,0.015412676832478137,0.9227238996566566,71.32688260000141,31647,13564,5,bankmarketing,nonlinear,gb_adasyn,True
0.6249999999999999,0.5624731615134092,0.05782965096978081,0.6180303030303029,0.004481020002276637,241,104,5,bupa,nonlinear,tree_base,False
0.7134615384615384,0.6365406277628198,0.048640163476221264,0.7709469696969696,0.3708611800015206,241,104,5,bupa,nonlinear,rf_base,False
0.7346153846153847,0.6846882441132374,0.03175700998356989,0.7861742424242425,0.5391849399980856,241,104,5,bupa,nonlinear,ada_base,False
0.7038461538461538,0.6426927024484015,0.047199646288647035,0.7515151515151516,0.4289576600043802,241,104,5,bupa,nonlinear,gb_base,False
0.686,0.47705512617774676,0.03459170997261563,0.6271428571428571,0.012062620001961477,700,300,5,german,nonlinear,tree_base,False
0.762,0.5196144804829477,0.04473050961296285,0.7980634920634921,0.7240912400011439,700,300,5,german,nonlinear,rf_base,False
0.756,0.5446907074395538,0.03399754159967576,0.7835026455026455,0.7430071399954613,700,300,5,german,nonlinear,ada_base,False
0.768,0.5729991349873461,0.023931740068459505,0.7903809523809524,0.8558451199962291,700,300,5,german,nonlinear,gb_base,False
0.7907692307692308,0.6807455190047921,0.058880790612787566,0.7608225108225108,0.003858280001441017,149,65,5,glass,nonlinear,tree_base,False
0.8523076923076923,0.7656439494693666,0.059019372483733804,0.9367965367965368,0.7106145000056131,149,65,5,glass,nonlinear,rf_base,False
0.8123076923076923,0.7167677974199714,0.02663132040957022,0.8977272727272727,0.5040793799998937,149,65,5,glass,nonlinear,ada_base,False
0.8584615384615384,0.7853460701267811,0.054442737184647504,0.9227272727272726,0.39024938000366094,149,65,5,glass,nonlinear,gb_base,False
1.0,1.0,0.0,1.0,0.0026025600003777073,92,40,5,hayes,nonlinear,tree_base,False
1.0,1.0,0.0,1.0,0.6426480399997672,92,40,5,hayes,nonlinear,rf_base,False
1.0,1.0,0.0,1.0,0.2391354199993657,92,40,5,hayes,nonlinear,ada_base,False
1.0,1.0,0.0,1.0,0.1067304200027138,92,40,5,hayes,nonlinear,gb_base,False
0.7481481481481482,0.7102347417840374,0.06622747617058242,0.7433333333333334,0.0024124800023855642,189,81,5,heart,nonlinear,tree_base,False
0.8148148148148147,0.7729306877643849,0.0697249544635648,0.8973456790123457,0.6583275599987246,189,81,5,heart,nonlinear,rf_base,False
0.8074074074074075,0.7795778593212905,0.014348593650375102,0.8721604938271605,0.6840521400037687,189,81,5,heart,nonlinear,ada_base,False
0.8049382716049382,0.7717359758266966,0.07250463483536905,0.8703703703703702,0.5680303400033153,189,81,5,heart,nonlinear,gb_base,False
0.8716981132075473,0.8225832803498834,0.010810188466572132,0.8628482972136224,0.03685540000151377,245,106,5,iono,nonlinear,tree_base,False
0.939622641509434,0.9140202133530526,0.019990327174118454,0.9779024767801857,0.6656098399980692,245,106,5,iono,nonlinear,rf_base,False
0.9264150943396228,0.8910015409777173,0.031190017324406568,0.9630804953560371,0.7328946399968117,245,106,5,iono,nonlinear,ada_base,False
0.9283018867924528,0.895672455234099,0.03066873419654359,0.9676470588235293,0.47927115999918896,245,106,5,iono,nonlinear,gb_base,False
